
Artist                Songs in Top Streaming List
Tones and I                     2
Lil Nas X                       2
Sam Smith                       1
Surfaces                        3
Stormzy                         1
Noah Cyrus                      2
JACKBOYS                        1
Daddy Yankee                    2
Ant Saunders                    1
Lunay                           1
Marshmello                      3
Lizzo                           1
Lil Tecca                       2
Demi Lovato                     2
Imagine Dragons                 2
Rich Music LTD                  3
Lil Baby                        1
Kygo                            2
Reik                            2
Lizzo                           4
Drake                           1
Queen                           1
Juju                            2
Lil Baby                        1
Sam Smith                       1
Kina                            2
Lauv                            4
James Arthur                    1
TOKYOaES REVENGE                2
Sech                            1
Ellie Goulding                  2
XXXTENTACION                    2
benny blanco                    3
Camilo                          1
Lunay                           2
Matthew Wilder                  1
Henrique & Juliano              2
Ava Max                         1
XXXTENTACION                    2
Kygo                            1
Chris Brown                     1
Red Velvet                      2
Rich Music LTD                  1
Arcangel                        1
ROSALADA                        1
Kina                            2
Dominic Fike                    1
Conan Gray                      2
Young Thug                      1
Gzuz                            2
J. Cole                         1
Piso 21                         1
DJ Snake                        2
John Legend                     1
Olivia Rodrigo                  3
The Chainsmokers                1
Bazzi                           1
Lauv                            1
Dean Lewis                      1
Taylor Swift                    2
Myke Towers                     1
5 Seconds of Summer             2
Panic! At The Disco             1
Riton                           2
Young Thug                      1
XXXTENTACION                    2
Sech                            1
Daddy Yankee                    1
Lil Nas X                       1
Alec Benjamin                   1
Thiaguinho MT                   1
Maluma                          1
Sam Feldt                       2
Meek Mill                       1
